11.14	459.96	4.18
11.44	469.08	4.06
11.49	470.46	4.15
11.54	471.85	3.97
11.59	473.23	4.30
11.64	474.61	3.93
11.69	476.00	3.76
11.74	477.38	3.73
11.79	478.77	3.55
11.84	480.15	3.57
11.89	481.53	3.78
11.99	484.30	3.54
12.04	485.69	3.35
12.14	488.45	2.98
12.19	489.84	3.35
12.24	491.22	3.41
12.29	492.61	3.59
12.34	493.99	3.45
12.39	495.37	3.53
12.44	496.76	3.55
12.49	498.14	3.52
12.54	499.53	3.54
12.69	503.68	3.53
12.74	505.06	3.53
12.79	506.44	3.72
12.84	507.83	3.95
12.89	509.21	3.90
13.04	513.36	4.10
13.09	514.75	3.86
13.14	516.13	3.81
13.19	517.52	3.86
13.24	518.90	3.74
13.29	520.28	3.78
13.34	521.67	3.71
13.39	523.05	3.64
13.49	525.82	3.63
13.99	539.66	3.70
14.04	541.04	4.24
14.09	542.42	4.16
14.14	543.81	4.11
14.19	545.19	4.70
14.24	546.58	4.70
14.29	547.96	4.30
14.34	549.34	4.50
14.39	550.73	4.26
14.49	553.50	4.10
14.54	554.88	4.10
14.59	556.26	4.18
14.64	557.70	4.27
14.69	559.23	4.34
14.74	560.93	4.07
14.79	562.66	4.36
14.84	564.49	3.89
14.89	566.34	4.00
14.94	568.18	3.42
15.09	574.13	3.56
15.14	576.44	3.03
15.24	580.85	4.07
15.29	582.69	3.32
15.34	584.54	4.12
15.39	586.39	3.34
15.44	588.23	4.39
15.49	590.30	4.15
15.54	592.89	3.60
15.64	598.66	3.62
15.69	601.54	3.37
15.74	604.43	3.14
15.79	607.31	3.45
15.85	610.77	3.32
15.90	613.65	2.99
15.95	616.53	3.30
16.00	619.41	3.29
16.05	622.30	4.01
16.10	625.18	4.95
16.15	627.45	5.03
16.24	630.77	4.75
16.28	632.24	4.72
16.43	637.78	4.80
16.53	641.47	4.75
16.58	643.32	4.49
16.63	645.16	4.60
16.68	647.01	4.28
16.73	648.85	4.23
16.78	650.70	4.27
16.83	652.54	4.16
16.88	654.39	4.25
16.93	656.23	4.17
17.03	659.92	4.35
17.08	661.77	4.75
17.13	663.60	4.49
17.18	665.33	4.53
17.23	667.06	4.75
17.28	668.79	4.66
17.33	670.52	4.34
17.38	672.25	4.39
17.43	673.98	4.46
17.48	675.71	4.32
17.53	677.44	4.19
17.58	679.17	3.50
17.63	680.90	4.15
17.68	682.63	3.59
17.73	684.36	3.36
17.78	686.09	3.41
17.83	687.77	3.35
17.88	689.30	3.43
17.93	690.84	3.42
17.98	692.38	3.51
18.03	693.92	3.45
18.08	695.46	3.46
18.13	696.99	3.53
18.18	698.53	3.56
18.23	700.07	3.60
18.28	701.61	3.73
18.33	703.14	3.71
18.38	704.68	3.60
18.43	706.22	3.51
18.48	707.76	3.69
18.53	709.47	3.61
18.58	711.20	3.33
18.63	713.03	3.58
18.68	714.88	3.78
18.73	716.92	3.95
18.78	719.23	3.77
18.88	724.96	3.86
18.93	728.03	3.71
18.98	731.11	3.60
19.03	734.18	3.65
19.08	737.64	3.78
19.13	741.10	3.55
19.18	744.56	4.21
19.23	748.02	4.19
19.28	751.46	4.07
19.33	754.54	3.52
19.38	757.50	3.68
19.43	760.39	3.83
19.48	762.94	3.42
19.53	764.97	3.44
19.58	766.81	3.55
19.63	768.64	3.37
19.66	769.68	3.36
19.68	770.37	3.27
19.73	772.08	3.27
19.78	773.62	3.23
19.83	775.15	3.14
19.88	776.69	3.18
19.93	778.23	3.18
19.98	779.77	3.10
20.03	781.31	3.12
20.08	782.84	3.12
20.13	784.52	3.09
20.18	786.25	3.12
20.23	788.06	3.10
20.33	791.87	3.70
20.43	797.50	4.38
20.53	803.26	4.53
20.58	806.15	4.05
20.63	809.03	3.89
20.68	811.29	3.95
20.73	813.14	3.50
20.78	814.98	3.08
20.83	816.73	3.41
20.93	820.02	3.12
20.98	821.50	3.26
21.03	822.88	4.20
21.08	824.27	3.47
21.13	825.65	3.47
21.18	827.03	3.67
21.23	828.42	3.42
21.28	829.80	3.59
21.33	831.19	3.93
21.38	832.57	3.42
21.48	835.34	3.49
21.53	836.72	3.53
21.58	838.11	3.51
21.63	839.49	3.69
21.68	840.87	3.60
21.73	842.26	3.26
21.78	843.64	3.14
21.83	845.02	3.14
21.88	846.41	3.16
21.93	847.79	3.07
21.98	849.18	3.18
22.03	850.56	3.03
22.08	851.94	3.36
22.13	853.33	3.13
22.18	854.71	3.13
22.23	856.19	3.19
22.28	857.76	3.13
22.33	859.49	3.32
22.38	861.24	3.24
22.43	863.08	3.10
22.48	864.93	3.17
